hour,P_total,Q_total,P_PV_max
0,3.5,0.683494,0.0
1,3.5,0.658519,0.0
2,3.5,0.65,0.0
3,3.5,0.658519,0.0
4,3.5,0.683494,0.0
5,3.982362,0.723223,0.0
6,4.5,0.775,0.0
7,5.017638,0.835295,0.0
8,5.5,0.9,2.112994
9,5.914214,0.964705,4.054806
10,6.232051,1.025,5.668122
11,6.431852,1.076777,6.82224
12,6.5,1.116506,7.423661
13,6.431852,1.141481,7.423661
14,6.232051,1.15,6.82224
15,5.914214,1.141481,5.668122
16,5.5,1.116506,4.054806
17,5.017638,1.076777,2.112994
18,7.0,2.625,0.0
19,6.482362,2.564705,0.0
20,6.0,2.5,0.0
21,5.585786,2.435295,0.0
22,5.267949,2.375,0.0
23,3.5,0.723223,0.0
