hour,P_total,Q_total,P_PV_max
0,3.0,1.0,0.0
1,3.3043478260869565,1.1304347826086956,0.0
2,3.608695652173913,1.2608695652173914,0.0
3,3.9130434782608696,1.391304347826087,0.0
4,4.217391304347826,1.5217391304347827,0.0
5,4.521739130434783,1.6521739130434783,0.0
6,4.826086956521739,1.7826086956521738,0.0
7,5.130434782608695,1.9130434782608696,0.0
8,5.434782608695652,2.0434782608695654,0.0
9,5.739130434782609,2.1739130434782608,0.0
10,6.043478260869565,2.3043478260869565,9.5
11,6.3478260869565215,2.4347826086956523,9.5
12,6.6521739130434785,2.5652173913043477,9.5
13,6.9565217391304355,2.6956521739130435,9.5
14,7.260869565217392,2.8260869565217392,9.5
15,7.565217391304348,2.9565217391304346,0.0
16,7.869565217391305,3.0869565217391304,0.0
17,8.173913043478262,3.217391304347826,0.0
18,8.478260869565219,3.3478260869565215,0.0
19,8.782608695652174,3.4782608695652173,0.0
20,9.08695652173913,3.608695652173913,0.0
21,9.391304347826088,3.7391304347826084,0.0
22,9.695652173913043,3.869565217391304,0.0
23,10.0,4.0,0.0
