hour,P_total,Q_total,P_PV_max
0,8.0,1.6244692850720335,0.0
1,8.0,1.7203543927928742,0.0
2,8.0,1.792763482033613,0.0
3,8.0,1.8239682823928445,0.0
4,8.0,1.8063287704371698,0.0
5,8.0,1.7441637138928248,0.0
6,8.0,1.652693286684007,0.0
7,8.0,1.5543126395341096,0.0
8,8.0,1.4731087860104477,5.0
9,8.0,1.428963261539014,5.0
10,8.0,1.4326844301394057,5.0
11,8.0,1.4833612199579551,5.0
12,8.0,1.5685861854322483,5.0
13,8.0,1.6674932826895965,5.0
14,8.0,1.7558666048157914,5.0
15,8.0,1.8120692804269813,5.0
16,8.0,1.8223409343967099,5.0
17,8.0,1.7841667075967316,5.0
18,8.0,1.7068929821203849,5.0
19,8.0,1.6094390609796716,0.0
20,8.0,1.5156650628941595,0.0
21,8.0,1.4485301330776994,0.0
22,8.0,1.4244712437618927,0.0
23,8.0,1.4493788501343476,0.0
