timestamp,day,hour,price_TL_per_MWh
2025-01-01 00:00:00,2025-01-01,0,1972.27
2025-01-01 01:00:00,2025-01-01,1,1881.6
2025-01-01 02:00:00,2025-01-01,2,2139.73
2025-01-01 03:00:00,2025-01-01,3,1992.71
2025-01-01 04:00:00,2025-01-01,4,1910.66
2025-01-01 05:00:00,2025-01-01,5,1738.07
2025-01-01 06:00:00,2025-01-01,6,1990.83
2025-01-01 07:00:00,2025-01-01,7,2461.14
2025-01-01 08:00:00,2025-01-01,8,2148.97
2025-01-01 09:00:00,2025-01-01,9,2428.84
2025-01-01 10:00:00,2025-01-01,10,2558.69
2025-01-01 11:00:00,2025-01-01,11,2346.57
2025-01-01 12:00:00,2025-01-01,12,2619.71
2025-01-01 13:00:00,2025-01-01,13,2565.37
2025-01-01 14:00:00,2025-01-01,14,2879.74
2025-01-01 15:00:00,2025-01-01,15,3242.34
2025-01-01 16:00:00,2025-01-01,16,3210.08
2025-01-01 17:00:00,2025-01-01,17,3190.74
2025-01-01 18:00:00,2025-01-01,18,3223.94
2025-01-01 19:00:00,2025-01-01,19,3818.4
2025-01-01 20:00:00,2025-01-01,20,3052.45
2025-01-01 21:00:00,2025-01-01,21,2938.76
2025-01-01 22:00:00,2025-01-01,22,2925.73
2025-01-01 23:00:00,2025-01-01,23,2914.85
2025-01-02 00:00:00,2025-01-02,0,2241.48
2025-01-02 01:00:00,2025-01-02,1,2051.05
2025-01-02 02:00:00,2025-01-02,2,1873.92
2025-01-02 03:00:00,2025-01-02,3,1868.13
2025-01-02 04:00:00,2025-01-02,4,1933.83
2025-01-02 05:00:00,2025-01-02,5,2001.27
2025-01-02 06:00:00,2025-01-02,6,2155.07
2025-01-02 07:00:00,2025-01-02,7,2042.58
2025-01-02 08:00:00,2025-01-02,8,2662.84
2025-01-02 09:00:00,2025-01-02,9,2502.49
2025-01-02 10:00:00,2025-01-02,10,2104.31
2025-01-02 11:00:00,2025-01-02,11,2408.72
2025-01-02 12:00:00,2025-01-02,12,2956.62
2025-01-02 13:00:00,2025-01-02,13,2731.66
2025-01-02 14:00:00,2025-01-02,14,2888.68
2025-01-02 15:00:00,2025-01-02,15,2997.86
2025-01-02 16:00:00,2025-01-02,16,2657.05
2025-01-02 17:00:00,2025-01-02,17,2983.6
2025-01-02 18:00:00,2025-01-02,18,3422.74
2025-01-02 19:00:00,2025-01-02,19,3422.91
2025-01-02 20:00:00,2025-01-02,20,3238.0
2025-01-02 21:00:00,2025-01-02,21,2922.75
2025-01-02 22:00:00,2025-01-02,22,3260.95
2025-01-02 23:00:00,2025-01-02,23,2569.66
2025-01-03 00:00:00,2025-01-03,0,1972.4
2025-01-03 01:00:00,2025-01-03,1,2067.63
2025-01-03 02:00:00,2025-01-03,2,1758.22
2025-01-03 03:00:00,2025-01-03,3,2098.6
2025-01-03 04:00:00,2025-01-03,4,2139.13
2025-01-03 05:00:00,2025-01-03,5,1830.49
2025-01-03 06:00:00,2025-01-03,6,2128.6
2025-01-03 07:00:00,2025-01-03,7,2067.9
2025-01-03 08:00:00,2025-01-03,8,2186.45
2025-01-03 09:00:00,2025-01-03,9,2229.4
2025-01-03 10:00:00,2025-01-03,10,1868.05
2025-01-03 11:00:00,2025-01-03,11,2371.39
