timestamp,day,hour,price_TL_per_MWh
2025-03-01 00:00:00,2025-03-01,0,1785.71
2025-03-01 01:00:00,2025-03-01,1,1612.61
2025-03-01 02:00:00,2025-03-01,2,1633.88
2025-03-01 03:00:00,2025-03-01,3,1532.33
2025-03-01 04:00:00,2025-03-01,4,1691.58
2025-03-01 05:00:00,2025-03-01,5,1563.59
2025-03-01 06:00:00,2025-03-01,6,1721.23
2025-03-01 07:00:00,2025-03-01,7,1773.44
2025-03-01 08:00:00,2025-03-01,8,1546.34
2025-03-01 09:00:00,2025-03-01,9,1873.57
2025-03-01 10:00:00,2025-03-01,10,1927.57
2025-03-01 11:00:00,2025-03-01,11,2384.77
2025-03-01 12:00:00,2025-03-01,12,2148.41
2025-03-01 13:00:00,2025-03-01,13,1853.32
2025-03-01 14:00:00,2025-03-01,14,2175.95
2025-03-01 15:00:00,2025-03-01,15,2360.86
2025-03-01 16:00:00,2025-03-01,16,2573.1
2025-03-01 17:00:00,2025-03-01,17,2830.47
2025-03-01 18:00:00,2025-03-01,18,2741.24
2025-03-01 19:00:00,2025-03-01,19,2667.29
2025-03-01 20:00:00,2025-03-01,20,2383.79
2025-03-01 21:00:00,2025-03-01,21,2670.79
2025-03-01 22:00:00,2025-03-01,22,2123.92
2025-03-01 23:00:00,2025-03-01,23,2259.33
2025-03-02 00:00:00,2025-03-02,0,1769.11
2025-03-02 01:00:00,2025-03-02,1,1571.3
2025-03-02 02:00:00,2025-03-02,2,1509.79
2025-03-02 03:00:00,2025-03-02,3,1491.75
2025-03-02 04:00:00,2025-03-02,4,1485.39
2025-03-02 05:00:00,2025-03-02,5,1405.04
2025-03-02 06:00:00,2025-03-02,6,1842.02
2025-03-02 07:00:00,2025-03-02,7,2012.25
2025-03-02 08:00:00,2025-03-02,8,1727.49
2025-03-02 09:00:00,2025-03-02,9,1704.82
2025-03-02 10:00:00,2025-03-02,10,1820.22
2025-03-02 11:00:00,2025-03-02,11,2011.07
2025-03-02 12:00:00,2025-03-02,12,1828.81
2025-03-02 13:00:00,2025-03-02,13,2259.62
2025-03-02 14:00:00,2025-03-02,14,2422.65
2025-03-02 15:00:00,2025-03-02,15,2494.08
2025-03-02 16:00:00,2025-03-02,16,2400.02
2025-03-02 17:00:00,2025-03-02,17,2939.13
2025-03-02 18:00:00,2025-03-02,18,2559.1
2025-03-02 19:00:00,2025-03-02,19,2287.35
2025-03-02 20:00:00,2025-03-02,20,2693.21
2025-03-02 21:00:00,2025-03-02,21,2859.01
2025-03-02 22:00:00,2025-03-02,22,2686.73
2025-03-02 23:00:00,2025-03-02,23,2455.31
2025-03-03 00:00:00,2025-03-03,0,1874.65
2025-03-03 01:00:00,2025-03-03,1,1905.58
2025-03-03 02:00:00,2025-03-03,2,1890.59
2025-03-03 03:00:00,2025-03-03,3,1402.44
2025-03-03 04:00:00,2025-03-03,4,1591.35
2025-03-03 05:00:00,2025-03-03,5,1678.4
2025-03-03 06:00:00,2025-03-03,6,1812.8
2025-03-03 07:00:00,2025-03-03,7,1647.65
2025-03-03 08:00:00,2025-03-03,8,1784.39
2025-03-03 09:00:00,2025-03-03,9,1681.47
2025-03-03 10:00:00,2025-03-03,10,2361.02
2025-03-03 11:00:00,2025-03-03,11,1865.25
2025-03-03 12:00:00,2025-03-03,12,2116.32
2025-03-03 13:00:00,2025-03-03,13,2016.49
2025-03-03 14:00:00,2025-03-03,14,2498.77
2025-03-03 15:00:00,2025-03-03,15,2444.24
2025-03-03 16:00:00,2025-03-03,16,2483.7
2025-03-03 17:00:00,2025-03-03,17,2709.19
2025-03-03 18:00:00,2025-03-03,18,3011.74
2025-03-03 19:00:00,2025-03-03,19,3266.27
2025-03-03 20:00:00,2025-03-03,20,2600.32
2025-03-03 21:00:00,2025-03-03,21,2494.36
2025-03-03 22:00:00,2025-03-03,22,2460.21
2025-03-03 23:00:00,2025-03-03,23,2334.15
2025-03-04 00:00:00,2025-03-04,0,2055.1
2025-03-04 01:00:00,2025-03-04,1,1828.35
2025-03-04 02:00:00,2025-03-04,2,1612.99
2025-03-04 03:00:00,2025-03-04,3,1881.67
2025-03-04 04:00:00,2025-03-04,4,1785.0
2025-03-04 05:00:00,2025-03-04,5,1757.77
2025-03-04 06:00:00,2025-03-04,6,2030.89
2025-03-04 07:00:00,2025-03-04,7,1612.94
2025-03-04 08:00:00,2025-03-04,8,2074.7
2025-03-04 09:00:00,2025-03-04,9,2183.83
2025-03-04 10:00:00,2025-03-04,10,2226.22
2025-03-04 11:00:00,2025-03-04,11,2142.1
2025-03-04 12:00:00,2025-03-04,12,2313.84
2025-03-04 13:00:00,2025-03-04,13,2210.85
2025-03-04 14:00:00,2025-03-04,14,1956.7
2025-03-04 15:00:00,2025-03-04,15,2315.13
2025-03-04 16:00:00,2025-03-04,16,2628.9
2025-03-04 17:00:00,2025-03-04,17,3145.59
2025-03-04 18:00:00,2025-03-04,18,2758.71
