hour_index,timestamp,hour,P_total,Q_total,P_PV_max
0,2025-03-01 00:00:00,0,8.53,3.0621,0.0
1,2025-03-01 01:00:00,1,8.3768,2.9951,0.0
2,2025-03-01 02:00:00,2,8.4853,3.1371,0.0
3,2025-03-01 03:00:00,3,8.7829,3.254,0.0
4,2025-03-01 04:00:00,4,9.0262,3.3142,0.0
5,2025-03-01 05:00:00,5,9.1867,3.2207,0.0
6,2025-03-01 06:00:00,6,9.2393,3.011,0.0
7,2025-03-01 07:00:00,7,9.0416,2.8332,0.0
8,2025-03-01 08:00:00,8,9.2429,2.964,2.2147
9,2025-03-01 09:00:00,9,9.0323,2.3894,6.9528
10,2025-03-01 10:00:00,10,9.1752,2.2574,10.624
11,2025-03-01 11:00:00,11,8.85,2.1987,13.9006
12,2025-03-01 12:00:00,12,8.4109,2.1996,17.4464
13,2025-03-01 13:00:00,13,8.4162,2.2848,17.6126
14,2025-03-01 14:00:00,14,8.1451,1.9759,16.1563
15,2025-03-01 15:00:00,15,8.0979,2.4419,13.9937
16,2025-03-01 16:00:00,16,8.2927,2.5297,8.6381
17,2025-03-01 17:00:00,17,8.7673,3.3123,3.7946
18,2025-03-01 18:00:00,18,8.918,3.4046,0.5572
19,2025-03-01 19:00:00,19,9.5473,3.9944,0.0
20,2025-03-01 20:00:00,20,9.925,4.2258,0.0
21,2025-03-01 21:00:00,21,10.3757,4.4761,0.0
22,2025-03-01 22:00:00,22,10.5417,4.5117,0.0
23,2025-03-01 23:00:00,23,10.0955,3.9507,0.0
24,2025-03-02 00:00:00,0,8.1791,3.6917,0.0
25,2025-03-02 01:00:00,1,8.1159,3.632,0.0
26,2025-03-02 02:00:00,2,8.3025,3.423,0.0
27,2025-03-02 03:00:00,3,8.4881,3.7106,0.0
28,2025-03-02 04:00:00,4,8.415,3.6836,0.0
29,2025-03-02 05:00:00,5,8.7053,3.8577,0.0
30,2025-03-02 06:00:00,6,8.7936,3.6221,0.0
31,2025-03-02 07:00:00,7,8.7587,3.448,0.0
32,2025-03-02 08:00:00,8,8.9269,3.4338,1.9113
33,2025-03-02 09:00:00,9,8.8761,3.2905,5.0792
34,2025-03-02 10:00:00,10,8.7147,3.2113,9.0524
35,2025-03-02 11:00:00,11,8.5686,2.9954,12.9547
36,2025-03-02 12:00:00,12,8.2396,2.8982,13.4395
37,2025-03-02 13:00:00,13,7.823,2.7361,14.089
38,2025-03-02 14:00:00,14,7.8873,2.8917,13.0051
39,2025-03-02 15:00:00,15,7.7661,2.9667,10.5029
40,2025-03-02 16:00:00,16,7.962,3.3191,6.4312
41,2025-03-02 17:00:00,17,8.3257,3.6795,3.4426
42,2025-03-02 18:00:00,18,8.3714,3.8705,0.4465
43,2025-03-02 19:00:00,19,9.1086,4.4463,0.0
44,2025-03-02 20:00:00,20,9.7483,4.8976,0.0
45,2025-03-02 21:00:00,21,9.9195,4.987,0.0
46,2025-03-02 22:00:00,22,9.9068,4.8803,0.0
47,2025-03-02 23:00:00,23,9.6263,4.5275,0.0
48,2025-03-03 00:00:00,0,8.1525,3.1139,0.0
49,2025-03-03 01:00:00,1,8.2053,3.0853,0.0
50,2025-03-03 02:00:00,2,8.1809,2.9286,0.0
51,2025-03-03 03:00:00,3,8.4078,2.8954,0.0
52,2025-03-03 04:00:00,4,8.3994,3.1119,0.0
53,2025-03-03 05:00:00,5,8.607,3.1267,0.0
54,2025-03-03 06:00:00,6,8.7525,2.9076,0.0
55,2025-03-03 07:00:00,7,8.7994,2.7409,0.0
56,2025-03-03 08:00:00,8,8.9464,2.8429,1.2246
57,2025-03-03 09:00:00,9,8.6775,2.6898,3.3237
58,2025-03-03 10:00:00,10,8.586,2.4907,6.0076
59,2025-03-03 11:00:00,11,8.5868,2.3976,8.544
60,2025-03-03 12:00:00,12,8.1977,2.3662,8.7625
61,2025-03-03 13:00:00,13,8.2379,2.4989,10.5144
62,2025-03-03 14:00:00,14,7.7752,2.3711,9.1877
63,2025-03-03 15:00:00,15,8.2062,2.5018,7.0284
64,2025-03-03 16:00:00,16,7.9422,2.9028,4.8016
65,2025-03-03 17:00:00,17,8.365,3.0994,2.1278
66,2025-03-03 18:00:00,18,8.7357,3.4418,0.2575
67,2025-03-03 19:00:00,19,9.3449,3.7359,0.0
68,2025-03-03 20:00:00,20,9.4883,4.1944,0.0
69,2025-03-03 21:00:00,21,9.9568,4.4945,0.0
70,2025-03-03 22:00:00,22,9.8841,4.0174,0.0
71,2025-03-03 23:00:00,23,9.8894,4.2722,0.0
72,2025-03-04 00:00:00,0,7.6151,3.1257,0.0
73,2025-03-04 01:00:00,1,7.636,3.2848,0.0
74,2025-03-04 02:00:00,2,7.348,3.1198,0.0
75,2025-03-04 03:00:00,3,7.697,3.1348,0.0
76,2025-03-04 04:00:00,4,7.6359,3.1991,0.0
77,2025-03-04 05:00:00,5,7.7668,3.0134,0.0
78,2025-03-04 06:00:00,6,7.824,3.0073,0.0
79,2025-03-04 07:00:00,7,7.877,2.8695,0.0
80,2025-03-04 08:00:00,8,8.0048,3.023,0.9977
81,2025-03-04 09:00:00,9,8.2488,2.8152,2.926
82,2025-03-04 10:00:00,10,7.9404,2.7338,4.8584
83,2025-03-04 11:00:00,11,7.7758,2.6957,6.5252
84,2025-03-04 12:00:00,12,7.3736,2.3698,7.3062
85,2025-03-04 13:00:00,13,7.242,2.4456,8.0163
86,2025-03-04 14:00:00,14,7.0845,2.3671,7.8775
87,2025-03-04 15:00:00,15,7.3607,2.6116,6.0761
88,2025-03-04 16:00:00,16,7.5534,2.8719,3.7377
89,2025-03-04 17:00:00,17,7.6209,3.1336,1.8138
90,2025-03-04 18:00:00,18,7.8362,3.5681,0.2321
91,2025-03-04 19:00:00,19,8.3469,3.8104,0.0
92,2025-03-04 20:00:00,20,8.6953,4.1456,0.0
93,2025-03-04 21:00:00,21,9.1814,4.434,0.0
94,2025-03-04 22:00:00,22,8.9824,4.2383,0.0
95,2025-03-04 23:00:00,23,8.7151,3.8272,0.0
96,2025-03-05 00:00:00,0,7.4792,2.4909,0.0
97,2025-03-05 01:00:00,1,7.7275,2.6544,0.0
98,2025-03-05 02:00:00,2,7.8204,2.453,0.0
99,2025-03-05 03:00:00,3,7.8287,2.7576,0.0
100,2025-03-05 04:00:00,4,7.9852,2.6921,0.0
101,2025-03-05 05:00:00,5,8.169,2.482,0.0
102,2025-03-05 06:00:00,6,8.3174,2.3546,0.0
103,2025-03-05 07:00:00,7,8.0752,2.2462,0.0
104,2025-03-05 08:00:00,8,8.3303,2.0996,1.002
105,2025-03-05 09:00:00,9,8.799,2.3151,2.5735
106,2025-03-05 10:00:00,10,8.5902,2.2839,4.5006
107,2025-03-05 11:00:00,11,7.8639,1.8885,5.8259
108,2025-03-05 12:00:00,12,7.8038,1.9081,7.5551
109,2025-03-05 13:00:00,13,7.4667,1.5768,7.8703
