hour_index,timestamp,hour,P_total,Q_total,P_PV_max
0,2025-07-01 00:00:00,0,6.8726,2.5207,0.0
1,2025-07-01 01:00:00,1,6.6645,2.2539,0.0
2,2025-07-01 02:00:00,2,6.6515,2.449,0.0
3,2025-07-01 03:00:00,3,6.7475,2.5873,0.0
4,2025-07-01 04:00:00,4,7.17,2.4786,0.0
5,2025-07-01 05:00:00,5,6.89,2.2733,0.0
6,2025-07-01 06:00:00,6,7.4292,2.1989,0.7085
7,2025-07-01 07:00:00,7,7.5944,2.4641,4.1485
8,2025-07-01 08:00:00,8,7.8303,2.3113,8.4
9,2025-07-01 09:00:00,9,8.1088,2.0866,13.1893
10,2025-07-01 10:00:00,10,8.0052,2.3723,17.5352
11,2025-07-01 11:00:00,11,7.7123,2.0225,23.9946
12,2025-07-01 12:00:00,12,7.5627,1.8795,24.3864
13,2025-07-01 13:00:00,13,7.4288,1.8799,24.1466
14,2025-07-01 14:00:00,14,7.5448,2.1243,24.6478
15,2025-07-01 15:00:00,15,7.8984,2.3092,20.7082
16,2025-07-01 16:00:00,16,8.1106,2.4971,17.178
17,2025-07-01 17:00:00,17,8.5634,2.8616,12.8783
18,2025-07-01 18:00:00,18,8.8455,3.2221,8.2258
19,2025-07-01 19:00:00,19,9.0407,3.4061,3.6505
20,2025-07-01 20:00:00,20,8.9892,3.5978,0.6152
21,2025-07-01 21:00:00,21,8.9105,3.6758,0.0
22,2025-07-01 22:00:00,22,8.2353,3.0384,0.0
23,2025-07-01 23:00:00,23,7.6606,2.7767,0.0
24,2025-07-02 00:00:00,0,6.7865,2.5712,0.0
25,2025-07-02 01:00:00,1,7.1668,2.6673,0.0
26,2025-07-02 02:00:00,2,6.9763,2.874,0.0
27,2025-07-02 03:00:00,3,6.761,2.5574,0.0
28,2025-07-02 04:00:00,4,6.7282,2.5776,0.0
29,2025-07-02 05:00:00,5,6.995,2.5651,0.0
30,2025-07-02 06:00:00,6,7.4856,2.6769,0.4825
31,2025-07-02 07:00:00,7,7.974,2.8354,2.727
32,2025-07-02 08:00:00,8,7.7283,2.4078,4.941
33,2025-07-02 09:00:00,9,8.4986,2.9242,9.7989
34,2025-07-02 10:00:00,10,8.2862,2.5651,12.5501
35,2025-07-02 11:00:00,11,8.0291,2.3877,15.1689
36,2025-07-02 12:00:00,12,7.8199,2.0666,17.5794
37,2025-07-02 13:00:00,13,7.5944,2.1463,17.8352
38,2025-07-02 14:00:00,14,7.672,2.4312,16.3958
39,2025-07-02 15:00:00,15,8.0631,2.7491,15.4507
40,2025-07-02 16:00:00,16,8.2682,2.7003,13.217
41,2025-07-02 17:00:00,17,8.5481,3.0639,9.0483
42,2025-07-02 18:00:00,18,9.1537,3.5033,5.4995
43,2025-07-02 19:00:00,19,9.339,4.0576,2.7042
44,2025-07-02 20:00:00,20,9.0431,3.8079,0.4539
45,2025-07-02 21:00:00,21,8.6985,3.4961,0.0
46,2025-07-02 22:00:00,22,8.3601,3.5237,0.0
47,2025-07-02 23:00:00,23,7.8239,2.9869,0.0
48,2025-07-03 00:00:00,0,7.0531,2.9114,0.0
49,2025-07-03 01:00:00,1,7.1382,2.9706,0.0
50,2025-07-03 02:00:00,2,6.6315,2.7472,0.0
51,2025-07-03 03:00:00,3,6.7625,2.7173,0.0
52,2025-07-03 04:00:00,4,7.0467,2.9464,0.0
53,2025-07-03 05:00:00,5,7.2,3.0157,0.0
54,2025-07-03 06:00:00,6,7.4307,2.9988,0.3679
55,2025-07-03 07:00:00,7,7.9725,2.9135,2.1782
56,2025-07-03 08:00:00,8,8.3206,3.3084,4.343
57,2025-07-03 09:00:00,9,8.5422,3.162,7.7837
58,2025-07-03 10:00:00,10,8.0462,2.7164,8.9561
59,2025-07-03 11:00:00,11,8.146,2.8531,12.1545
60,2025-07-03 12:00:00,12,7.8515,2.7098,13.4083
61,2025-07-03 13:00:00,13,7.8291,2.6111,12.7614
62,2025-07-03 14:00:00,14,7.76,2.73,11.4789
63,2025-07-03 15:00:00,15,7.8947,2.828,11.7259
64,2025-07-03 16:00:00,16,8.3652,3.2773,9.3014
65,2025-07-03 17:00:00,17,9.0593,3.8085,7.513
66,2025-07-03 18:00:00,18,9.1374,4.054,4.5407
67,2025-07-03 19:00:00,19,9.3903,4.3716,2.1352
68,2025-07-03 20:00:00,20,9.4089,4.3157,0.3428
69,2025-07-03 21:00:00,21,8.8038,3.9876,0.0
70,2025-07-03 22:00:00,22,8.5134,3.8767,0.0
71,2025-07-03 23:00:00,23,7.6181,3.1667,0.0
72,2025-07-04 00:00:00,0,7.0002,2.848,0.0
73,2025-07-04 01:00:00,1,6.6944,2.7481,0.0
74,2025-07-04 02:00:00,2,6.7812,2.823,0.0
75,2025-07-04 03:00:00,3,7.0303,2.8022,0.0
76,2025-07-04 04:00:00,4,7.0539,2.689,0.0
77,2025-07-04 05:00:00,5,7.2883,2.8001,0.0
78,2025-07-04 06:00:00,6,7.5246,2.8693,0.2791
79,2025-07-04 07:00:00,7,7.9703,2.932,1.5717
80,2025-07-04 08:00:00,8,8.1271,2.764,3.2635
81,2025-07-04 09:00:00,9,8.4371,2.8051,5.6151
82,2025-07-04 10:00:00,10,8.2353,2.7542,7.6852
83,2025-07-04 11:00:00,11,8.1901,2.6237,9.2886
84,2025-07-04 12:00:00,12,7.6008,2.4554,10.1865
85,2025-07-04 13:00:00,13,7.5622,2.512,10.2614
86,2025-07-04 14:00:00,14,7.7578,2.5407,9.7726
87,2025-07-04 15:00:00,15,7.9656,2.7373,8.8732
88,2025-07-04 16:00:00,16,8.2932,2.9671,7.4054
89,2025-07-04 17:00:00,17,8.5916,3.1673,5.1603
90,2025-07-04 18:00:00,18,9.1209,3.7906,3.6064
91,2025-07-04 19:00:00,19,9.2716,3.898,1.6477
92,2025-07-04 20:00:00,20,9.1232,3.8701,0.291
93,2025-07-04 21:00:00,21,8.9091,3.8575,0.0
94,2025-07-04 22:00:00,22,8.3866,3.4513,0.0
95,2025-07-04 23:00:00,23,8.0264,3.235,0.0
96,2025-07-05 00:00:00,0,6.3332,2.5909,0.0
97,2025-07-05 01:00:00,1,6.2267,2.4066,0.0
98,2025-07-05 02:00:00,2,6.2515,2.5455,0.0
99,2025-07-05 03:00:00,3,5.8599,2.2982,0.0
100,2025-07-05 04:00:00,4,5.9669,2.4352,0.0
