hour,P_total,Q_total,P_PV_max
0,3.5,1.0,0.0
1,3.3,0.95,0.0
2,3.2,0.92,0.0
3,3.1,0.9,0.0
4,3.3,0.97,0.0
5,3.8,1.15,0.0
6,4.8,1.5,0.5
7,5.8,1.9,1.5
8,6.8,2.2,3.0
9,7.4,2.4,4.5
10,7.8,2.6,5.5
11,8.0,2.7,6.0
12,8.2,2.8,6.5
13,8.3,2.85,6.8
14,8.1,2.8,6.4
15,7.8,2.7,5.8
16,7.5,4.0,5.8
17,7.3,4.1,6.0
18,7.1,4.2,6.0
19,6.8,4.0,5.8
20,6.5,3.7,5.0
21,6.0,3.4,4.0
22,5.5,3.1,3.0
23,5.0,2.8,1.5
24,3.8,1.1,0.0
25,3.6,1.05,0.0
26,3.5,1.02,0.0
27,3.4,1.0,0.0
28,3.6,1.08,0.0
29,4.2,1.25,0.0
30,5.2,1.55,1.0
31,6.4,1.9,2.0
32,7.4,2.15,3.5
33,8.0,2.3,4.5
34,8.5,2.45,5.5
35,8.7,2.5,6.0
36,8.9,2.55,6.2
37,9.0,2.6,6.4
38,8.7,2.5,6.0
39,8.2,2.35,5.0
40,7.6,2.2,3.5
41,7.0,2.05,2.5
42,6.4,1.9,1.5
43,5.8,1.75,0.5
44,5.3,1.6,0.0
45,4.9,1.5,0.0
46,4.5,1.4,0.0
47,4.1,1.3,0.0
