timestamp,day,hour,price_TL_per_MWh
2025-07-01 00:00:00,2025-07-01,0,1548.47
2025-07-01 01:00:00,2025-07-01,1,1398.71
2025-07-01 02:00:00,2025-07-01,2,1427.45
2025-07-01 03:00:00,2025-07-01,3,1657.75
2025-07-01 04:00:00,2025-07-01,4,1356.21
2025-07-01 05:00:00,2025-07-01,5,1448.64
2025-07-01 06:00:00,2025-07-01,6,1125.96
2025-07-01 07:00:00,2025-07-01,7,1394.01
2025-07-01 08:00:00,2025-07-01,8,1600.15
2025-07-01 09:00:00,2025-07-01,9,1722.4
2025-07-01 10:00:00,2025-07-01,10,1888.14
2025-07-01 11:00:00,2025-07-01,11,1514.81
2025-07-01 12:00:00,2025-07-01,12,1958.64
2025-07-01 13:00:00,2025-07-01,13,1810.5
2025-07-01 14:00:00,2025-07-01,14,1603.22
2025-07-01 15:00:00,2025-07-01,15,2184.58
2025-07-01 16:00:00,2025-07-01,16,2750.66
2025-07-01 17:00:00,2025-07-01,17,2112.68
2025-07-01 18:00:00,2025-07-01,18,2729.82
2025-07-01 19:00:00,2025-07-01,19,2321.59
2025-07-01 20:00:00,2025-07-01,20,2405.83
2025-07-01 21:00:00,2025-07-01,21,2501.07
2025-07-01 22:00:00,2025-07-01,22,1983.4
2025-07-01 23:00:00,2025-07-01,23,2184.34
2025-07-02 00:00:00,2025-07-02,0,1487.86
2025-07-02 01:00:00,2025-07-02,1,1734.37
2025-07-02 02:00:00,2025-07-02,2,1330.23
2025-07-02 03:00:00,2025-07-02,3,1163.73
2025-07-02 04:00:00,2025-07-02,4,1041.28
2025-07-02 05:00:00,2025-07-02,5,1494.78
2025-07-02 06:00:00,2025-07-02,6,1417.44
2025-07-02 07:00:00,2025-07-02,7,1663.06
2025-07-02 08:00:00,2025-07-02,8,1704.89
2025-07-02 09:00:00,2025-07-02,9,1722.96
2025-07-02 10:00:00,2025-07-02,10,1892.88
2025-07-02 11:00:00,2025-07-02,11,1963.21
2025-07-02 12:00:00,2025-07-02,12,2055.96
2025-07-02 13:00:00,2025-07-02,13,2284.28
2025-07-02 14:00:00,2025-07-02,14,1951.36
2025-07-02 15:00:00,2025-07-02,15,1697.13
2025-07-02 16:00:00,2025-07-02,16,2119.18
2025-07-02 17:00:00,2025-07-02,17,2608.76
2025-07-02 18:00:00,2025-07-02,18,2595.03
2025-07-02 19:00:00,2025-07-02,19,3594.5
2025-07-02 20:00:00,2025-07-02,20,1979.39
2025-07-02 21:00:00,2025-07-02,21,2599.16
2025-07-02 22:00:00,2025-07-02,22,2365.3
2025-07-02 23:00:00,2025-07-02,23,2218.91
2025-07-03 00:00:00,2025-07-03,0,1718.02
2025-07-03 01:00:00,2025-07-03,1,1569.73
