hour,P_total,Q_total,P_PV_max
0,3.0,1.35,0.0
1,3.0,1.35,0.0
2,3.0,1.35,0.0
3,3.0,1.35,0.0
4,3.0,1.35,0.0
5,3.0,1.35,0.0
6,4.0,1.2,6.0
7,5.0,1.5,8.0
8,6.0,1.7999999999999998,10.0
9,6.0,1.7999999999999998,11.0
10,6.0,1.7999999999999998,12.0
11,6.0,1.7999999999999998,12.0
12,5.0,1.5,11.0
13,5.0,1.5,10.0
14,4.0,1.2,8.0
15,4.0,1.2,6.0
16,3.0,0.8999999999999999,4.0
17,3.0,0.8999999999999999,2.0
18,3.0,0.8999999999999999,0.0
19,3.0,0.8999999999999999,0.0
20,3.0,0.8999999999999999,0.0
21,3.0,0.8999999999999999,0.0
22,3.0,1.35,0.0
23,3.0,1.35,0.0
