hour,P_total,Q_total,P_PV_max
0,4.0,1.4,0.0
1,4.0,1.4,0.0
2,4.0,1.4,0.0
3,4.0,1.4,0.0
4,5.0,1.75,0.0
5,6.0,2.0999999999999996,5.0
6,7.0,2.4499999999999997,10.0
7,8.0,2.8,20.0
8,9.0,3.15,30.0
9,10.0,3.5,35.0
10,11.0,3.8499999999999996,38.0
11,11.0,3.8499999999999996,40.0
12,11.0,3.8499999999999996,40.0
13,11.0,3.8499999999999996,38.0
14,10.0,3.5,35.0
15,9.0,3.15,25.0
16,8.0,2.8,15.0
17,8.0,2.8,5.0
18,7.0,2.4499999999999997,0.0
19,6.0,2.0999999999999996,0.0
20,5.0,1.75,0.0
21,4.0,1.4,0.0
22,4.0,1.4,0.0
23,4.0,1.4,0.0
