hour_index,timestamp,hour,P_total,Q_total,P_PV_max
0,2025-04-01 00:00:00,0,7.3119,2.832,0.0
1,2025-04-01 01:00:00,1,7.3604,2.8153,0.0
2,2025-04-01 02:00:00,2,7.3565,2.8526,0.0
3,2025-04-01 03:00:00,3,7.5592,2.9855,0.0
4,2025-04-01 04:00:00,4,7.3959,2.7333,0.0
5,2025-04-01 05:00:00,5,7.6733,2.9446,0.0
6,2025-04-01 06:00:00,6,8.0687,2.8705,0.0
7,2025-04-01 07:00:00,7,8.5027,3.038,0.5338
8,2025-04-01 08:00:00,8,8.7001,3.0422,3.8888
9,2025-04-01 09:00:00,9,8.7951,2.9305,7.6612
10,2025-04-01 10:00:00,10,8.8294,2.4077,12.856
11,2025-04-01 11:00:00,11,8.6732,2.6848,16.7354
12,2025-04-01 12:00:00,12,8.2023,2.3253,19.7548
13,2025-04-01 13:00:00,13,8.0748,2.3658,21.2467
14,2025-04-01 14:00:00,14,8.1102,2.6036,20.7858
15,2025-04-01 15:00:00,15,8.4505,2.7194,18.3758
16,2025-04-01 16:00:00,16,8.9792,3.1387,14.1889
17,2025-04-01 17:00:00,17,9.1946,3.5285,8.9065
18,2025-04-01 18:00:00,18,9.7378,3.8279,4.3173
19,2025-04-01 19:00:00,19,9.8411,4.0716,0.9796
20,2025-04-01 20:00:00,20,10.0062,4.2382,0.0
21,2025-04-01 21:00:00,21,9.4145,4.0245,0.0
22,2025-04-01 22:00:00,22,9.1558,3.8537,0.0
23,2025-04-01 23:00:00,23,8.5315,3.0894,0.0
24,2025-04-02 00:00:00,0,7.65,2.8346,0.0
25,2025-04-02 01:00:00,1,7.7105,2.8335,0.0
26,2025-04-02 02:00:00,2,7.6126,2.6993,0.0
27,2025-04-02 03:00:00,3,7.4562,2.7794,0.0
28,2025-04-02 04:00:00,4,7.6672,2.921,0.0
29,2025-04-02 05:00:00,5,7.9286,2.9366,0.0
30,2025-04-02 06:00:00,6,8.2653,2.4502,0.0
31,2025-04-02 07:00:00,7,8.559,2.4305,0.3538
32,2025-04-02 08:00:00,8,9.0484,2.6675,2.5675
33,2025-04-02 09:00:00,9,9.3693,2.6345,5.2241
34,2025-04-02 10:00:00,10,8.9941,2.6129,9.1425
35,2025-04-02 11:00:00,11,8.6851,2.4147,10.7458
36,2025-04-02 12:00:00,12,8.4359,2.4464,12.9227
37,2025-04-02 13:00:00,13,8.3828,2.133,14.8686
38,2025-04-02 14:00:00,14,8.2516,2.5018,13.7787
39,2025-04-02 15:00:00,15,8.8888,2.7535,12.3836
40,2025-04-02 16:00:00,16,9.1234,2.8583,9.5755
41,2025-04-02 17:00:00,17,9.5692,3.581,5.7194
42,2025-04-02 18:00:00,18,10.2549,3.915,3.0793
43,2025-04-02 19:00:00,19,10.1148,3.8337,0.6784
44,2025-04-02 20:00:00,20,9.9693,3.9626,0.0
45,2025-04-02 21:00:00,21,9.5416,3.529,0.0
46,2025-04-02 22:00:00,22,9.0856,3.596,0.0
