hour,P_total,Q_total,P_PV_max
0,2.8,2.625,0.0
1,2.8,2.593934,0.0
2,2.8,2.570096,0.0
3,2.874167,2.555111,0.0
4,3.080761,2.55,0.0
5,3.35,2.555111,0.0
6,3.663535,0.670096,0.0
7,4.0,0.693934,0.0
8,4.336465,0.725,1.831262
9,4.65,0.761177,3.514165
10,4.919239,0.8,4.912372
11,5.125833,0.838823,5.912608
12,5.255704,0.875,6.433839
13,5.3,0.906066,6.433839
14,5.255704,0.929904,5.912608
15,5.125833,0.944889,4.912372
16,4.919239,0.95,3.514165
17,4.65,0.944889,1.831262
18,4.336465,0.929904,0.0
19,4.0,0.906066,0.0
20,3.663535,0.875,0.0
21,3.35,2.738823,0.0
22,3.080761,2.7,0.0
23,2.874167,2.661177,0.0
