hour,P_total,Q_total,P_PV_max
0,5.130667,1.161826,0.0
1,5.220577,1.229667,0.0
2,5.363604,1.196349,0.0
3,5.55,1.200685,0.0
4,5.767063,1.315758,0.0
5,6.0,1.378276,0.0
6,6.232937,1.350658,0.0
7,6.45,1.398822,0.0
8,6.636396,1.510536,1.549529
9,6.779423,1.746458,2.973524
10,6.869333,1.696808,4.156623
11,6.9,1.743655,5.002976
12,6.869333,1.794867,5.444018
13,6.779423,1.721189,5.444018
14,6.636396,1.648988,5.002976
15,6.45,1.677681,4.156623
16,6.232937,1.659616,2.973524
17,6.0,1.53907,1.549529
18,5.767063,1.254634,0.0
19,5.55,1.285642,0.0
20,5.363604,1.23558,0.0
21,5.220577,1.1346,0.0
22,5.130667,1.147093,0.0
23,5.1,1.204879,0.0
